Unnamed: 0,Entity,Code,Year,Arable land needed to produce a fixed quantity of crops
4044,Greece,GRC,2011,0.57789385
4097,Grenada,GRD,2010,0.85015573
4098,Grenada,GRD,2011,0.818001447
4151,Guadeloupe,GLP,2010,1.309731234
4152,Guadeloupe,GLP,2011,1.26459321
4205,Guam,GUM,2010,0.135825315
4206,Guam,GUM,2011,0.134347872
4259,Guatemala,GTM,2010,0.147591352
4260,Guatemala,GTM,2011,0.13730268
4313,Guinea,GIN,2010,0.250774683
4314,Guinea,GIN,2011,0.238828186
4367,Guinea-Bissau,GNB,2010,0.400266975
4368,Guinea-Bissau,GNB,2011,0.412805915
4421,Guyana,GUY,2010,0.805540996
4422,Guyana,GUY,2011,0.759008731
4475,Haiti,HTI,2010,0.665262322
4476,Haiti,HTI,2011,0.598596056
4529,Honduras,HND,2010,0.220361098
4530,Honduras,HND,2011,0.210254788
4583,Hungary,HUN,2010,0.662019278
4584,Hungary,HUN,2011,0.58485778
4637,Iceland,ISL,2010,0.544418777
4638,Iceland,ISL,2011,0.670720752
4691,India,IND,2010,0.282042519
4692,India,IND,2011,0.262722456
4745,Indonesia,IDN,2010,0.226664151
4746,Indonesia,IDN,2011,0.221512402
4799,Iran,IRN,2010,0.118820408
4800,Iran,IRN,2011,0.126814979
4853,Iraq,IRQ,2010,0.274907202
4854,Iraq,IRQ,2011,0.273684129
4907,Ireland,IRL,2010,0.740897808
4908,Ireland,IRL,2011,0.687503789
4961,Israel,ISR,2010,0.284523879
4962,Israel,ISR,2011,0.278522983
5015,Italy,ITA,2010,0.441303319
5016,Italy,ITA,2011,0.419211653
5069,Jamaica,JAM,2010,0.777960514
5070,Jamaica,JAM,2011,0.724902488
5123,Japan,JPN,2010,0.988398912
5124,Japan,JPN,2011,0.985987628
5177,Jordan,JOR,2010,0.299432163
5178,Jordan,JOR,2011,0.282776311
5231,Kenya,KEN,2010,0.298362976
5232,Kenya,KEN,2011,0.346233858
5285,Kiribati,KIR,2010,0.831352155
5286,Kiribati,KIR,2011,0.825677919
5339,Kuwait,KWT,2010,0.092227494
5340,Kuwait,KWT,2011,0.099396351
5393,Land Locked Developing Countries,,2010,0.422996747
5394,Land Locked Developing Countries,,2011,0.40916503
5447,Laos,LAO,2010,0.290871501
5448,Laos,LAO,2011,0.271773858
5501,Least developed countries,,2010,0.398023756
5502,Least developed countries,,2011,0.398446937
5555,Lebanon,LBN,2010,0.239505645
5556,Lebanon,LBN,2011,0.301805154
5609,Lesotho,LSO,2010,0.644965254
5610,Lesotho,LSO,2011,0.728208144
5663,Liberia,LBR,2010,0.602834683
5664,Liberia,LBR,2011,0.613165163
5717,Libya,LBY,2010,0.146391952
5718,Libya,LBY,2011,0.141598163
5771,Liechtenstein,LIE,2010,0.543535213
5772,Liechtenstein,LIE,2011,0.494122921
5825,Low Income Food Deficit Countries,,2010,0.327457666
5826,Low Income Food Deficit Countries,,2011,0.317488652
5879,Madagascar,MDG,2010,0.627231751
5880,Madagascar,MDG,2011,0.632988975
5933,Malawi,MWI,2010,0.399552716
5934,Malawi,MWI,2011,0.371428571
5987,Malaysia,MYS,2010,0.182986206
5988,Malaysia,MYS,2011,0.171268449
6041,Maldives,MDV,2010,1.459929226
6042,Maldives,MDV,2011,1.600281412
6095,Mali,MLI,2010,0.605779479
6096,Mali,MLI,2011,0.652062063
6149,Malta,MLT,2010,0.30074786
6150,Malta,MLT,2011,0.293839455
6203,Martinique,MTQ,2010,2.57889132
6204,Martinique,MTQ,2011,2.302111774
6257,Mauritania,MRT,2010,0.523954025
6258,Mauritania,MRT,2011,0.517945533
6311,Mauritius,MUS,2010,0.877170956
6312,Mauritius,MUS,2011,0.8779016
6365,Melanesia,OWID_MNS,2010,0.915845379
6366,Melanesia,OWID_MNS,2011,0.880127736
6419,Mexico,MEX,2010,0.323458465
6420,Mexico,MEX,2011,0.328991871
6473,Micronesia (region),,2010,0.934136421
6474,Micronesia (region),,2011,0.943451545
6527,Middle Africa,,2010,0.397890874
6528,Middle Africa,,2011,0.41711944
6581,Mongolia,MNG,2010,0.184721087
6582,Mongolia,MNG,2011,0.14684782
6635,Montserrat,MSR,2010,0.55785877
6636,Montserrat,MSR,2011,0.532530225
6689,Morocco,MAR,2010,0.199927566
6690,Morocco,MAR,2011,0.197911065
6743,Mozambique,MOZ,2010,0.746996265
6744,Mozambique,MOZ,2011,0.700658482
6797,Myanmar,MMR,2010,0.174258543
6798,Myanmar,MMR,2011,0.181215064
6851,Namibia,NAM,2010,0.352814792
6852,Namibia,NAM,2011,0.348927208
6905,Nepal,NPL,2010,0.300122845
6906,Nepal,NPL,2011,0.272609016
6959,Net Food Importing Developing Countries,,2010,0.367135428
6960,Net Food Importing Developing Countries,,2011,0.364843308
7013,Netherlands,NLD,2010,0.477234775
7014,Netherlands,NLD,2011,0.439599834
7067,New Caledonia,NCL,2010,1.396441092
7068,New Caledonia,NCL,2011,1.36783752
7121,New Zealand,NZL,2010,0.028945297
7122,New Zealand,NZL,2011,0.027225592
7175,Nicaragua,NIC,2010,0.490735916
7176,Nicaragua,NIC,2011,0.419112046
7229,Niger,NER,2010,0.187552557
7230,Niger,NER,2011,0.225917553
7283,Nigeria,NGA,2010,0.299163935
7284,Nigeria,NGA,2011,0.334718733
7337,Niue,NIU,2010,0.459733278
7338,Niue,NIU,2011,0.461259205
7391,North Korea,PRK,2010,0.472848355
7392,North Korea,PRK,2011,0.457974971
7445,Northern Africa,,2010,0.327686788
7446,Northern Africa,,2011,0.309886553
7499,Northern America,,2010,0.354171348
7500,Northern America,,2011,0.357377268
7553,Northern Europe,,2010,0.606641442
7554,Northern Europe,,2011,0.579166419
7607,Norway,NOR,2010,1.296254853
7608,Norway,NOR,2011,1.459044844
7661,Oceania,,2010,0.338278192
7662,Oceania,,2011,0.327758742
7715,Oman,OMN,2010,0.213651427
7716,Oman,OMN,2011,0.24795432
7769,Pakistan,PAK,2010,0.194082948
7770,Pakistan,PAK,2011,0.185950608
7823,Panama,PAN,2010,0.91427895
7824,Panama,PAN,2011,0.933742154
7877,Papua New Guinea,PNG,2010,1.20220299
7878,Papua New Guinea,PNG,2011,1.158258233
7931,Paraguay,PRY,2010,0.594497713
7932,Paraguay,PRY,2011,0.577741872
7985,Peru,PER,2010,0.603075837
7986,Peru,PER,2011,0.580743069
8039,Philippines,PHL,2010,0.292573783
8040,Philippines,PHL,2011,0.292651697
8093,Poland,POL,2010,0.740454806
8094,Poland,POL,2011,0.734173283
8147,Polynesia,OWID_PYA,2010,1.247671854
8148,Polynesia,OWID_PYA,2011,1.230355574
8201,Portugal,PRT,2010,0.485311162
8202,Portugal,PRT,2011,0.499219874
8255,Puerto Rico,PRI,2010,1.317857494
8256,Puerto Rico,PRI,2011,1.313841966
8309,Qatar,QAT,2010,0.894485907
8310,Qatar,QAT,2011,0.891463306
8363,Reunion,REU,2010,0.57297241
8364,Reunion,REU,2011,0.577330763
8417,Romania,ROU,2010,0.661505692
8418,Romania,ROU,2011,0.554359755
8471,Rwanda,RWA,2010,0.411458797
8472,Rwanda,RWA,2011,0.383501434
8525,Saint Kitts and Nevis,KNA,2010,5.205632962
8526,Saint Kitts and Nevis,KNA,2011,4.644980818
8579,Saint Lucia,LCA,2010,1.947328444
8580,Saint Lucia,LCA,2011,2.170773723
8633,Saint Vincent and the Grenadines,VCT,2010,0.547742259
8634,Saint Vincent and the Grenadines,VCT,2011,0.57875474
8687,Samoa,WSM,2010,0.723177587
8688,Samoa,WSM,2011,0.717425489
8741,Sao Tome and Principe,STP,2010,6.442589311
8742,Sao Tome and Principe,STP,2011,7.073156578
8795,Saudi Arabia,SAU,2010,0.360663148
8796,Saudi Arabia,SAU,2011,0.355148715
8849,Senegal,SEN,2010,0.58241281
8850,Senegal,SEN,2011,0.803399942
8903,Seychelles,SYC,2010,3.010095326
8904,Seychelles,SYC,2011,0.256770638
8957,Sierra Leone,SLE,2010,1.0075504
8958,Sierra Leone,SLE,2011,0.989062517
9011,Singapore,SGP,2010,0.701675927
9012,Singapore,SGP,2011,0.662757896
9065,Small island developing States,,2010,1.141376451
9066,Small island developing States,,2011,1.090801277
9119,Solomon Islands,SLB,2010,0.517746149
9120,Solomon Islands,SLB,2011,0.511206973
9173,Somalia,SOM,2010,0.719831408
9174,Somalia,SOM,2011,0.799000838
9227,South Africa,ZAF,2010,0.384142112
9228,South Africa,ZAF,2011,0.369709241
9281,South America,,2010,0.465791372
9282,South America,,2011,0.450360311
9335,South Korea,KOR,2010,0.313374824
9336,South Korea,KOR,2011,0.307315965
9389,South-Eastern Asia,,2010,0.238850315
9390,South-Eastern Asia,,2011,0.230456326
9443,Southern Africa,,2010,0.381364404
9444,Southern Africa,,2011,0.369725703
9497,Southern Asia,,2010,0.266141338
9498,Southern Asia,,2011,0.252798887
9551,Southern Europe,,2010,0.445608039
9552,Southern Europe,,2011,0.428894209
9605,Spain,ESP,2010,0.343931828
9606,Spain,ESP,2011,0.329086773
9659,Sri Lanka,LKA,2010,0.784799469
9660,Sri Lanka,LKA,2011,0.884423253
9713,Sudan (former),,2010,0.631344428
9763,Suriname,SUR,2010,0.542744245
9764,Suriname,SUR,2011,0.575930659
9817,Swaziland,SWZ,2010,0.286269311
9818,Swaziland,SWZ,2011,0.277947988
9871,Sweden,SWE,2010,0.765348152
9872,Sweden,SWE,2011,0.700983387
9925,Switzerland,CHE,2010,1.2336564
9926,Switzerland,CHE,2011,0.993963187
9979,Syria,SYR,2010,0.15253927
9980,Syria,SYR,2011,0.131006054
10033,Tanzania,TZA,2010,0.449884344
10034,Tanzania,TZA,2011,0.443077745
10087,Thailand,THA,2010,0.289594609
10088,Thailand,THA,2011,0.266891283
10141,Timor-Leste,,2010,0.669872724
10142,Timor-Leste,,2011,0.85701453
10195,Togo,TGO,2010,0.403775133
10196,Togo,TGO,2011,0.363555753
10249,Tonga,TON,2010,1.532080877
10250,Tonga,TON,2011,1.521919612
10303,Trinidad and Tobago,TTO,2010,1.615150139
10304,Trinidad and Tobago,TTO,2011,1.611940168
10357,Tunisia,TUN,2010,0.211893581
10358,Tunisia,TUN,2011,0.214388384
10411,Turkey,TUR,2010,0.281245495
10412,Turkey,TUR,2011,0.257925625
10465,Uganda,UGA,2010,0.798297785
10466,Uganda,UGA,2011,0.865221042
10519,United Arab Emirates,ARE,2010,0.086783697
10520,United Arab Emirates,ARE,2011,0.195188391
10573,United Kingdom,GBR,2010,0.458960805
10574,United Kingdom,GBR,2011,0.445857056
10627,United States,USA,2010,0.356046732
10628,United States,USA,2011,0.360047022
10681,Uruguay,URY,2010,0.187771167
10682,Uruguay,URY,2011,0.193622667
10735,Vanuatu,VUT,2010,1.02355523
10736,Vanuatu,VUT,2011,1.07755102
10789,Venezuela,VEN,2010,0.355210426
10790,Venezuela,VEN,2011,0.325857586
10843,Vietnam,VNM,2010,0.203311197
10844,Vietnam,VNM,2011,0.194543043
10897,Wallis and Futuna,WLF,2010,0.682231365
10898,Wallis and Futuna,WLF,2011,0.673913043
10951,Western Africa,,2010,0.336552348
10952,Western Africa,,2011,0.359269292
11005,Western Asia,,2010,0.275592637
11006,Western Asia,,2011,0.257821696
11059,Western Europe,,2010,0.645232524
11060,Western Europe,,2011,0.623688086
11113,World,OWID_WRL,2010,0.326200883
11114,World,OWID_WRL,2011,0.313311267
11167,Yemen,YEM,2010,0.233793321
11168,Yemen,YEM,2011,0.23261296
11221,Zambia,ZMB,2010,0.227529206
11222,Zambia,ZMB,2011,0.221787379
11275,Zimbabwe,ZWE,2010,0.990830232
11276,Zimbabwe,ZWE,2011,1.049656172
