index,Entity,Code,Year,Arable land needed to produce a fixed quantity of crops,country-code
8791,Portugal,PRT,2010.0,0.485311162,620
8845,Puerto Rico,PRI,2010.0,1.317857494,630
8899,Qatar,QAT,2010.0,0.894485907,634
8953,Reunion,REU,2010.0,0.57297241,638
9007,Romania,ROU,2010.0,0.661505692,642
9061,Rwanda,RWA,2010.0,0.411458797,646
9115,Saint Kitts and Nevis,KNA,2010.0,5.205632962,659
9169,Saint Lucia,LCA,2010.0,1.947328444,662
9223,Saint Vincent and the Grenadines,VCT,2010.0,0.547742259,670
9277,Samoa,WSM,2010.0,0.723177587,882
9331,Sao Tome and Principe,STP,2010.0,6.442589311,678
9385,Saudi Arabia,SAU,2010.0,0.360663148,682
9439,Senegal,SEN,2010.0,0.58241281,686
9493,Seychelles,SYC,2010.0,3.010095326,690
9547,Sierra Leone,SLE,2010.0,1.0075504,694
9601,Singapore,SGP,2010.0,0.701675927,702
9655,Solomon Islands,SLB,2010.0,0.517746149,90
9709,Somalia,SOM,2010.0,0.719831408,706
9763,South Africa,ZAF,2010.0,0.384142112,710
9817,South Korea,KOR,2010.0,0.313374824,410
9871,Spain,ESP,2010.0,0.343931828,724
9925,Sri Lanka,LKA,2010.0,0.784799469,144
9979,Suriname,SUR,2010.0,0.542744245,740
10033,Swaziland,SWZ,2010.0,0.286269311,748
10087,Sweden,SWE,2010.0,0.765348152,752
10141,Switzerland,CHE,2010.0,1.2336564,756
10195,Syria,SYR,2010.0,0.15253927,760
10249,Tanzania,TZA,2010.0,0.449884344,834
10303,Thailand,THA,2010.0,0.289594609,764
10357,Togo,TGO,2010.0,0.403775133,768
10411,Tonga,TON,2010.0,1.532080877,776
10465,Trinidad and Tobago,TTO,2010.0,1.615150139,780
10519,Tunisia,TUN,2010.0,0.211893581,788
10573,Turkey,TUR,2010.0,0.281245495,792
10627,Uganda,UGA,2010.0,0.798297785,800
10681,United Arab Emirates,ARE,2010.0,0.086783697,784
10735,United Kingdom,GBR,2010.0,0.458960805,826
10789,United States,USA,2010.0,0.356046732,840
10843,Uruguay,URY,2010.0,0.187771167,858
10897,Vanuatu,VUT,2010.0,1.02355523,548
10951,Venezuela,VEN,2010.0,0.355210426,862
11005,Vietnam,VNM,2010.0,0.203311197,704
11059,Wallis and Futuna,WLF,2010.0,0.682231365,876
11167,Yemen,YEM,2010.0,0.233793321,887
11221,Zambia,ZMB,2010.0,0.227529206,894
11275,Zimbabwe,ZWE,2010.0,0.990830232,716
